bound_type,strain,ko,media,time_point,id,lb,ub
log_concentration,0,PGI,Glc,0,succ,-8.06619967617137,-7.701188117517227
log_concentration,0,PGI,Glc,0,thr-L,-8.074891594749646,-6.99718339636969
log_concentration,0,PGI,Glc,0,trp-L,-11.958308585011617,-11.033221560572786
log_concentration,0,PGI,Glc,0,tyr-L,-10.855853932585445,-10.179145812006402
log_concentration,0,PGI,Glc,0,udp,-9.529537394737297,-9.021071243333601
log_concentration,0,PGI,Glc,0,udpg,-6.460513927020846,-5.920223723379319
log_concentration,0,PGI,Glc,0,udpglcur,-9.933973071311458,-9.32839636618288
log_concentration,0,PGI,Glc,0,ump,-9.554137522894871,-8.923983712668928
log_concentration,0,PGI,Glc,0,ura,-12.736251125227168,-11.690154048469513
log_concentration,0,PGI,Glc,0,uri,-12.46701007342523,-10.961516884912323
log_concentration,0,PGI,Glc,0,utp,-7.8783636144652975,-7.46033545338968
log_concentration,0,SUCDi,Glc,0,23dpg,-8.97029202248237,-8.179013377293897
log_concentration,0,SUCDi,Glc,0,6pgc,-8.561094147202859,-8.214715670686346
log_concentration,0,SUCDi,Glc,0,Lcystin,-10.830516356367792,-9.852334621856814
log_concentration,0,SUCDi,Glc,0,Pool_2pg_3pg,-7.174734277178951,-6.762209384539619
log_concentration,0,SUCDi,Glc,0,accoa,-8.016043254402474,-7.224037694851437
log_concentration,0,SUCDi,Glc,0,acon-C,-8.072277734553268,-7.900137810263631
log_concentration,0,SUCDi,Glc,0,ade,-10.576172507274954,-10.453834513603084
log_concentration,0,SUCDi,Glc,0,adn,-12.309472693663706,-11.122634740500033
log_concentration,0,SUCDi,Glc,0,adp,-9.140792490644476,-8.324963231073129
log_concentration,0,SUCDi,Glc,0,adpglc,-12.235805573727712,-11.568039826962695
log_concentration,0,SUCDi,Glc,0,akg,-8.964740240632235,-8.342066355082801
log_concentration,0,SUCDi,Glc,0,ala-L,-6.805799892442623,-5.331551832196618
log_concentration,0,SUCDi,Glc,0,amp,-9.637562927527572,-9.103351042803867
log_concentration,0,SUCDi,Glc,0,arg-L,-8.297380070737752,-7.987922143609765
log_concentration,0,SUCDi,Glc,0,asn-L,-7.780487848863319,-7.204305761150013
log_concentration,0,SUCDi,Glc,0,atp,-6.7286476952519045,-6.22947977976005
log_concentration,0,SUCDi,Glc,0,camp,-10.995660669025444,-10.68528522242057
log_concentration,0,SUCDi,Glc,0,chor,-3.041411678476836,-2.6515255756140648
log_concentration,0,SUCDi,Glc,0,cit,-11.76714520011753,-11.731267806558906
log_concentration,0,SUCDi,Glc,0,citr-L,-10.110765352551839,-9.454505549028898
